ts,book,reason,engine,symbol,side,entry,realized_pnl,mfe_peak_pct,bars_held
1782734460,CRYPTO,REVERSAL_CLIP,Trend TSMom50 4h,SOL fut (ladder ~2bps; QSOL pending),SHORT,73.24,3.5,1.34,1
1782735960,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,SOL fut (ladder ~2bps; QSOL pending),LONG,73.24,2.3,1.12,1
1782735960,CRYPTO,REVERSAL_CLIP,Trend EMAx 1h,SOL fut 1h (ladder ~2bps),LONG,73.25,2.25,1.09,1
1782736860,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,SOL fut (ladder ~2bps; QSOL pending),LONG,73.24,0.85,1.54,0
1782736860,CRYPTO,REVERSAL_CLIP,Trend EMAx 1h,SOL fut 1h (ladder ~2bps),LONG,73.25,0.8,1.5,0
1782741361,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,BTC MBT micro (ladder ~6bps),SHORT,60082.4,6.28,1.19,1
1782741361,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,BTC QTF SQF perp (~22bps),SHORT,60082.4,6.24,1.2,1
1782742860,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,ETH MET micro (ladder ~8bps),SHORT,1578.34,6.35,1.15,1
1782742860,CRYPTO,REVERSAL_CLIP,Trend TSMom50 4h,ETH MET micro (ladder ~8bps),SHORT,1578.34,6.35,1.13,1
1782742860,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,ETH QEF SQF perp (~28bps),SHORT,1578.34,6.36,1.13,1
1782742860,CRYPTO,REVERSAL_CLIP,Trend TSMom50 4h,ETH QEF SQF perp (~28bps),SHORT,1578.34,6.35,1.13,1
1782742860,CRYPTO,REVERSAL_CLIP,Trend EMAx 1h,ETH MET micro 1h (ladder ~8bps),SHORT,1578.34,6.49,1.14,1
1782743160,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,BTC MBT micro (ladder ~6bps),SHORT,60082.4,7.86,1.66,0
1782743160,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,BTC QTF SQF perp (~22bps),SHORT,60082.4,7.86,1.66,0
1782753960,CRYPTO,REVERSAL_CLIP,Trend EMAx 4h,SOL fut (ladder ~2bps; QSOL pending),LONG,73.24,10.6,3.71,0
1782753960,CRYPTO,REVERSAL_CLIP,Trend TSMom50 4h,SOL fut (ladder ~2bps; QSOL pending),LONG,73.87,7.55,2.8,0
1782753960,CRYPTO,REVERSAL_CLIP,Trend EMAx 1h,SOL fut 1h (ladder ~2bps),LONG,73.25,10.65,3.69,0
1782761760,CRYPTO,REVERSAL_CLIP,Trend TSMom50 4h,SOL fut (ladder ~2bps; QSOL pending),LONG,73.87,9.4,2.95,0
1782767040,CRYPTO,ENGINE_EXIT,Trend EMAx 1h,ETH MET micro 1h (ladder ~8bps),LONG,1625.83,-3.22,0.13,1
1782777840,CRYPTO,ENGINE_EXIT,Trend Kelt 4h,ETH MET micro (ladder ~8bps),LONG,1626.48,-2.8,0.0,1
1782777840,CRYPTO,ENGINE_EXIT,Trend Ichi 4h,ETH MET micro (ladder ~8bps),LONG,1626.48,-2.8,0.0,1
1782781860,CRYPTO,LOSS_CUT_CLIP,Breakout Donch40 1h,SOL fut 1h (ladder ~2bps; QSOL pending),LONG,75.42,-12.3,0.44,1
